Username,Platform,Followers,Engagement Rate,Location,Industry,Contact Email,Campaign ROI,Ad Cost (USD)
Hassan_Al-Maktoum_1626,Snapchat,106614,5.5550062905510895,Oman,Sports,hassan.al-maktoum.1626@example.com,19,39291.25366781237
Fatima_Al-Hashimi_9734,Snapchat,693111,2.8816328847399433,Qatar,Lifestyle,fatima.al-hashimi.9734@example.com,14,12504.692776937707
Sara_Al-Zahrani_1256,Snapchat,662389,5.6464661202435025,Kuwait,Food,sara.al-zahrani.1256@example.com,14,49923.87571819074
Mohammed_Al-Zahrani_911,Snapchat,334441,6.836191495829295,Qatar,Fashion,mohammed.al-zahrani.911@example.com,22,27780.618529915137
Fatima_Al-Khalifa_4994,Snapchat,809371,6.082886644726242,Oman,Tech,fatima.al-khalifa.4994@example.com,22,15900.524627127927
Yousef_Al-Jaber_6783,Snapchat,279701,1.6956707331008845,Bahrain,Fashion,yousef.al-jaber.6783@example.com,21,1881.8325925596646
Mohammed_Al-Hashimi_4600,Snapchat,189920,1.6251872254755804,UAE,Tech,mohammed.al-hashimi.4600@example.com,15,7730.812203564026
Khaled_Al-Khalifa_4468,Snapchat,199904,3.231697323740699,Saudi Arabia,Travel,khaled.al-khalifa.4468@example.com,27,1725.0009286207987
Ahmed_Al-Jaber_5964,Snapchat,382745,8.428584909873779,Oman,Sports,ahmed.al-jaber.5964@example.com,19,13291.384261542406
Noor_Al-Hassan_4296,Snapchat,930983,2.159269085239707,Bahrain,Tech,noor.al-hassan.4296@example.com,23,33122.22006868462
Fatima_Al-Sharif_7533,Snapchat,909386,2.100813912654999,Qatar,Fashion,fatima.al-sharif.7533@example.com,15,6894.757892235283
Layla_Al-Qasimi_7646,Snapchat,660984,8.109600160636555,Bahrain,Beauty,layla.al-qasimi.7646@example.com,13,21021.093912611006
Fatima_Al-Qasimi_2695,Snapchat,603667,5.147696020583752,Bahrain,Fashion,fatima.al-qasimi.2695@example.com,20,49522.98105596493
Yousef_Al-Saud_7005,Snapchat,461585,9.167699549687052,Oman,Entertainment,yousef.al-saud.7005@example.com,13,44134.60161318554
Sara_Al-Zahrani_4790,Snapchat,871464,9.378688706006278,Kuwait,Fashion,sara.al-zahrani.4790@example.com,21,30414.231507099154
Fatima_Al-Maktoum_2175,Snapchat,497878,2.423181222256767,UAE,Lifestyle,fatima.al-maktoum.2175@example.com,24,47004.494609119894
Mariam_Al-Zahrani_1846,Snapchat,97296,2.3002741465011383,UAE,Entertainment,mariam.al-zahrani.1846@example.com,23,33754.51321166722
Mariam_Al-Said_5628,Snapchat,570652,6.849008337341823,Bahrain,Food,mariam.al-said.5628@example.com,23,32719.847957352507
Ali_Al-Sabah_9439,Snapchat,175373,4.6703953955387325,Kuwait,Entertainment,ali.al-sabah.9439@example.com,24,29688.085050564736
Abdullah_Al-Qasimi_9518,Snapchat,103983,4.560570428935042,UAE,Food,abdullah.al-qasimi.9518@example.com,20,40839.91340463257
Omar_Al-Thani_9094,Snapchat,491687,0.9484848496341381,Saudi Arabia,Tech,omar.al-thani.9094@example.com,14,3195.4339355164275
Ahmed_Al-Hassan_1154,Snapchat,550637,8.131579135576285,Saudi Arabia,Beauty,ahmed.al-hassan.1154@example.com,11,36379.730665482435
Aisha_Al-Saud_10000,Snapchat,769371,7.819698027985827,Kuwait,Fashion,aisha.al-saud.10000@example.com,14,21830.71557377854
Mariam_Al-Jaber_3197,Snapchat,820411,5.284520698117982,Bahrain,Entertainment,mariam.al-jaber.3197@example.com,12,15364.905678828141
Yousef_Al-Said_4812,Snapchat,427596,5.573493916676658,Bahrain,Lifestyle,yousef.al-said.4812@example.com,26,9312.774744959865
Khaled_Al-Jaber_8269,Snapchat,111904,2.3038118990544048,Bahrain,Sports,khaled.al-jaber.8269@example.com,15,25502.392913498625
Aisha_Al-Sabah_1775,Snapchat,274880,9.613871789924294,Oman,Tech,aisha.al-sabah.1775@example.com,14,14771.243337071135
Noor_Al-Maktoum_3618,Snapchat,484073,2.1333238771353797,Oman,Lifestyle,noor.al-maktoum.3618@example.com,29,5232.838305948096
Mariam_Al-Mubarak_8213,Snapchat,91735,0.32164462205814803,UAE,Beauty,mariam.al-mubarak.8213@example.com,14,9642.497054507081
Ahmed_Al-Sharif_3316,Snapchat,829817,5.013674140133284,UAE,Food,ahmed.al-sharif.3316@example.com,28,29487.519328924474
Mohammed_Al-Thani_6190,Snapchat,906601,9.449243109530856,Qatar,Beauty,mohammed.al-thani.6190@example.com,14,49034.76533875643
Layla_Al-Salem_8153,Snapchat,399393,8.710481207321958,Oman,Tech,layla.al-salem.8153@example.com,18,31439.38923482588
Aisha_Al-Mutawa_5518,Snapchat,303455,6.092518245055162,Oman,Food,aisha.al-mutawa.5518@example.com,25,38499.23539151438
Hassan_Al-Khalifa_6199,Snapchat,995992,4.643105191706628,Kuwait,Food,hassan.al-khalifa.6199@example.com,19,25934.28369595989
Abdullah_Al-Qasimi_4342,Snapchat,324689,3.987228308081042,Kuwait,Food,abdullah.al-qasimi.4342@example.com,25,37951.74263932244
Hassan_Al-Hassan_4435,Snapchat,664029,8.784828587262894,Bahrain,Food,hassan.al-hassan.4435@example.com,26,11647.545998833537
Abdullah_Al-Mutawa_3462,Snapchat,627515,7.772396370855885,Qatar,Food,abdullah.al-mutawa.3462@example.com,15,7544.647925771928
Khaled_Al-Qasimi_4854,Snapchat,932900,7.398576186061203,Oman,Sports,khaled.al-qasimi.4854@example.com,29,18839.872541495242
Fatima_Al-Mutawa_7962,Snapchat,795960,6.478848680833633,Bahrain,Entertainment,fatima.al-mutawa.7962@example.com,29,42543.04991377431
Hassan_Al-Sabah_9660,Snapchat,956670,1.1275592078611458,Kuwait,Food,hassan.al-sabah.9660@example.com,22,35989.14258091623
Ahmed_Al-Mubarak_8507,Snapchat,732992,6.432381460567963,Oman,Travel,ahmed.al-mubarak.8507@example.com,13,31683.75998578373
Hassan_Al-Maktoum_3660,Snapchat,237664,9.156784431235916,Oman,Beauty,hassan.al-maktoum.3660@example.com,25,14675.41122761056
Layla_Al-Hassan_6431,Snapchat,926051,4.174690719485553,UAE,Fashion,layla.al-hassan.6431@example.com,21,20198.562357096947
Reem_Al-Salem_5598,Snapchat,3029,5.070407606055157,Saudi Arabia,Travel,reem.al-salem.5598@example.com,27,22318.70040960356
Reem_Al-Qasimi_2182,Snapchat,223582,1.2574823978466132,UAE,Beauty,reem.al-qasimi.2182@example.com,13,36214.44524496501
Ahmed_Al-Mutawa_8798,Snapchat,379336,5.305452872214306,Saudi Arabia,Tech,ahmed.al-mutawa.8798@example.com,21,21868.001710463654
Noor_Al-Zahrani_594,Snapchat,118593,4.288886644395115,Qatar,Sports,noor.al-zahrani.594@example.com,25,7010.878826499271
Mohammed_Al-Qasimi_6030,Snapchat,796992,6.806428339782202,Bahrain,Sports,mohammed.al-qasimi.6030@example.com,28,21994.388982186116
Yousef_Al-Saud_6616,Snapchat,571171,3.2182727477167137,Saudi Arabia,Fashion,yousef.al-saud.6616@example.com,26,22142.837185510343
Abdullah_Al-Thani_2029,Snapchat,355222,7.889688274563248,Kuwait,Travel,abdullah.al-thani.2029@example.com,20,45766.209725628396
Khaled_Al-Qasimi_2034,Snapchat,829416,1.7694016023853198,Qatar,Lifestyle,khaled.al-qasimi.2034@example.com,22,2712.620621119565
Mohammed_Al-Hashimi_2264,Snapchat,66890,6.992290734914591,Saudi Arabia,Travel,mohammed.al-hashimi.2264@example.com,16,6640.532429571963
Yousef_Al-Thani_1720,Snapchat,526037,2.834383811253176,Bahrain,Fashion,yousef.al-thani.1720@example.com,28,16250.770346908093
Abdullah_Al-Hassan_1720,Snapchat,462796,2.8920475845882296,Qatar,Entertainment,abdullah.al-hassan.1720@example.com,14,38166.89533752292
Noor_Al-Salem_3360,Snapchat,870869,4.74150417551864,Qatar,Beauty,noor.al-salem.3360@example.com,11,22088.189350274908
Layla_Al-Hassan_1508,Snapchat,454468,5.191118584616383,Bahrain,Beauty,layla.al-hassan.1508@example.com,16,44719.975264324166
Sara_Al-Maktoum_7216,Snapchat,936390,3.663942025766387,Oman,Entertainment,sara.al-maktoum.7216@example.com,24,42486.680980544705
Aisha_Al-Zahrani_3358,Snapchat,105280,1.7820789023976737,Qatar,Travel,aisha.al-zahrani.3358@example.com,23,49696.17901374861
Reem_Al-Mubarak_8513,Snapchat,368017,8.707615508906692,UAE,Lifestyle,reem.al-mubarak.8513@example.com,24,40521.86101427047
Mohammed_Al-Mutawa_1788,Snapchat,308347,8.68372780631325,Bahrain,Fashion,mohammed.al-mutawa.1788@example.com,27,27814.35631867659
Hassan_Al-Thani_3120,Snapchat,971411,3.6729746635575817,Saudi Arabia,Sports,hassan.al-thani.3120@example.com,23,12368.336660415684
Hassan_Al-Saud_244,Snapchat,736725,4.724709971872361,UAE,Lifestyle,hassan.al-saud.244@example.com,14,34507.276136217326
Sara_Al-Qasimi_4225,Snapchat,322425,1.4416117844406455,Kuwait,Beauty,sara.al-qasimi.4225@example.com,25,10948.089144843467
Layla_Al-Maktoum_9415,Snapchat,252578,0.13082144704407214,Bahrain,Tech,layla.al-maktoum.9415@example.com,13,15460.257120497543
Yousef_Al-Thani_9134,Snapchat,748392,0.7128243926563754,Qatar,Tech,yousef.al-thani.9134@example.com,12,33370.430270661935
Layla_Al-Zahrani_4275,Snapchat,108074,1.9643449784663616,Qatar,Entertainment,layla.al-zahrani.4275@example.com,23,16992.236037123388
Mohammed_Al-Sabah_4757,Snapchat,892555,4.4845736545111965,Bahrain,Lifestyle,mohammed.al-sabah.4757@example.com,17,11483.316502101527
Fatima_Al-Sabah_8926,Snapchat,741110,7.344827595669558,Saudi Arabia,Tech,fatima.al-sabah.8926@example.com,20,36153.52755020284
Aisha_Al-Hassan_5356,Snapchat,519208,6.596506738869446,Saudi Arabia,Entertainment,aisha.al-hassan.5356@example.com,14,43207.747651399084
Sara_Al-Jaber_182,Snapchat,994165,1.5058220263511357,Oman,Fashion,sara.al-jaber.182@example.com,21,2185.4172186667306
Khaled_Al-Saud_5521,Snapchat,784630,2.5729219669395174,Saudi Arabia,Beauty,khaled.al-saud.5521@example.com,13,1478.2559372702879
Ahmed_Al-Mutawa_3168,Snapchat,217495,0.21536520027086728,UAE,Sports,ahmed.al-mutawa.3168@example.com,24,34760.546177080636
Fatima_Al-Mubarak_9637,Snapchat,455336,9.398902195647224,Bahrain,Tech,fatima.al-mubarak.9637@example.com,19,1915.195924666011
Ahmed_Al-Mubarak_3492,Snapchat,382816,0.6411568976226376,Bahrain,Tech,ahmed.al-mubarak.3492@example.com,16,3495.662902030351
Khaled_Al-Thani_4226,Snapchat,972845,6.676678085953066,Bahrain,Entertainment,khaled.al-thani.4226@example.com,23,45993.63421095668
Hassan_Al-Mubarak_9095,Snapchat,270447,4.4599483785407195,Kuwait,Travel,hassan.al-mubarak.9095@example.com,20,43660.31397194334
Abdullah_Al-Qasimi_8674,Snapchat,523695,8.75932063396519,UAE,Beauty,abdullah.al-qasimi.8674@example.com,21,20568.308357646365
Sara_Al-Sabah_3136,Snapchat,387388,0.12393430704804372,UAE,Tech,sara.al-sabah.3136@example.com,26,31251.72912410685
Noor_Al-Mubarak_6991,Snapchat,162023,0.695814684616289,Bahrain,Food,noor.al-mubarak.6991@example.com,19,41728.91534353587
Aisha_Al-Qasimi_1214,Snapchat,556885,4.957677969759228,Qatar,Travel,aisha.al-qasimi.1214@example.com,23,39578.69151760175
Omar_Al-Khalifa_9523,Snapchat,620207,1.6293242986074084,UAE,Lifestyle,omar.al-khalifa.9523@example.com,23,38462.75866452821
Sara_Al-Maktoum_401,Snapchat,916764,2.246157293470204,Bahrain,Fashion,sara.al-maktoum.401@example.com,13,16267.512963191228
Yousef_Al-Mutawa_5329,Snapchat,486171,5.061538051814537,Qatar,Fashion,yousef.al-mutawa.5329@example.com,27,24960.085730262945
Layla_Al-Jaber_8908,Snapchat,547750,6.6582020458030335,Bahrain,Sports,layla.al-jaber.8908@example.com,25,31110.707837523496
Mohammed_Al-Zahrani_9338,Snapchat,254703,5.757204516130317,Oman,Lifestyle,mohammed.al-zahrani.9338@example.com,22,4891.313694752824
Fatima_Al-Hashimi_2394,Snapchat,474997,5.1750711983243995,Kuwait,Food,fatima.al-hashimi.2394@example.com,10,31291.725658633568
Fatima_Al-Salem_3131,Snapchat,206926,8.8622690997691,Saudi Arabia,Entertainment,fatima.al-salem.3131@example.com,23,38037.86239975052
Hassan_Al-Mutawa_8265,Snapchat,108994,3.8921339500546335,Bahrain,Tech,hassan.al-mutawa.8265@example.com,21,17907.6067919253
Aisha_Al-Hashimi_5934,Snapchat,316001,8.832153547986783,Saudi Arabia,Fashion,aisha.al-hashimi.5934@example.com,27,17358.05692521504
Aisha_Al-Salem_8918,Snapchat,381668,5.609569339901472,Qatar,Food,aisha.al-salem.8918@example.com,25,31074.278137326284
Khaled_Al-Mubarak_4247,Snapchat,402253,0.778967024069872,Oman,Entertainment,khaled.al-mubarak.4247@example.com,29,35155.64395085092
Mohammed_Al-Mubarak_4178,Snapchat,660293,0.7765227210975135,Bahrain,Entertainment,mohammed.al-mubarak.4178@example.com,23,42935.54559095954
Khaled_Al-Qasimi_5211,Snapchat,272488,0.9783228792039383,Qatar,Sports,khaled.al-qasimi.5211@example.com,29,13473.519416174482
Reem_Al-Salem_1539,Snapchat,821916,1.9980770082962305,UAE,Food,reem.al-salem.1539@example.com,14,15242.321210759377
Reem_Al-Hashimi_584,Snapchat,223610,6.809227204337157,Qatar,Travel,reem.al-hashimi.584@example.com,15,38677.54977196993
Noor_Al-Sabah_7035,Snapchat,606740,3.783305395998874,UAE,Beauty,noor.al-sabah.7035@example.com,27,42935.29420369539
Omar_Al-Sabah_9187,Snapchat,89318,0.29279925641906596,Kuwait,Sports,omar.al-sabah.9187@example.com,26,33579.04108457996
Hassan_Al-Hassan_2035,Snapchat,331901,9.54056975761001,Saudi Arabia,Food,hassan.al-hassan.2035@example.com,19,10399.977280537376
Reem_Al-Khalifa_1274,Snapchat,922507,8.049958767143108,Qatar,Lifestyle,reem.al-khalifa.1274@example.com,11,48455.08631804289
Reem_Al-Khalifa_7660,Snapchat,728420,4.9424156602788445,UAE,Fashion,reem.al-khalifa.7660@example.com,12,31790.97560005673
Yousef_Al-Thani_7801,Snapchat,859233,0.9900479886309818,Qatar,Tech,yousef.al-thani.7801@example.com,28,40480.78427074164
Mariam_Al-Mutawa_4126,Snapchat,221338,7.747728499877319,Kuwait,Fashion,mariam.al-mutawa.4126@example.com,19,25212.098418930404
Ali_Al-Qasimi_9157,Snapchat,894202,8.880334611073412,UAE,Entertainment,ali.al-qasimi.9157@example.com,14,44480.89074987665
Mohammed_Al-Qasimi_3447,Snapchat,477657,0.12337888348708707,Qatar,Food,mohammed.al-qasimi.3447@example.com,15,35033.563272930995
Fatima_Al-Jaber_4286,Snapchat,623496,4.7932197191762915,Bahrain,Tech,fatima.al-jaber.4286@example.com,28,21983.006401556584
Omar_Al-Sharif_3038,Snapchat,213665,6.957059989175581,Bahrain,Food,omar.al-sharif.3038@example.com,15,9971.389337532091
Omar_Al-Mutawa_3069,Snapchat,967467,8.033118839759371,UAE,Food,omar.al-mutawa.3069@example.com,13,46362.53545743725
Yousef_Al-Jaber_590,Snapchat,360343,5.327360545683677,Qatar,Fashion,yousef.al-jaber.590@example.com,24,37220.70291910573
Sara_Al-Saud_7540,Snapchat,60036,5.964769744271407,Kuwait,Tech,sara.al-saud.7540@example.com,13,12257.977846549564
Ali_Al-Zahrani_4029,Snapchat,756750,2.2978248978297127,Saudi Arabia,Food,ali.al-zahrani.4029@example.com,10,18177.25386050446
Reem_Al-Khalifa_4203,Snapchat,930037,1.5792191948429746,Oman,Fashion,reem.al-khalifa.4203@example.com,13,6566.709647863312
Omar_Al-Mutawa_6969,Snapchat,918350,1.5968942995121658,UAE,Entertainment,omar.al-mutawa.6969@example.com,24,8196.1357320176
